Species_1,Kingdom_1,Interaction_type,Species_2,Kingdom_2
Usnea hirta ex,Fungi,epiphyteOf,Tilia cordata,Plant
Ramalina pollinaria,Fungi,epiphyteOf,Populus tremula,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Chaenotheca brachypoda,Fungi
Populus tremula,Plant,hasEpiphyte,Bacidia laurocerasi,Fungi
Quercus robur,Plant,hasEpiphyte,Opegrapha atra,Fungi
Alnus glutinosa,Plant,hasEpiphyte,Ramalina pollinaria,Fungi
Carpinus betulus,Plant,hasEpiphyte,Pertusaria coronata,Fungi
Carpinus betulus,Plant,hasEpiphyte,Menegazzia terebrata,Fungi
Pachyphiale fagicola,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Lobaria pulmonaria,Fungi
Arthonia spadicea,Fungi,epiphyteOf,Corylus avellana,Plant
Inoderma sorediatum,Fungi,epiphyteOf,Carpinus betulus,Plant
Lepraria vouauxii,Fungi,epiphyteOf,Quercus robur,Plant
Quercus robur,Plant,hasEpiphyte,Biatora hemipolia,Fungi
Lecanora carpinea,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Ulmus minor,Plant,hasEpiphyte,Porina aenea,Fungi
Lecidea nylanderi,Fungi,epiphyteOf,Betula pendula,Plant
Alnus glutinosa,Plant,hasEpiphyte,Reichlingia leopoldii,Fungi
Placynthiella icmalea,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Arthonia vinosa,Fungi,epiphyteOf,Carpinus betulus,Plant
Betula pendula,Plant,hasEpiphyte,Porina aenea,Fungi
Quercus robur,Plant,hasEpiphyte,Menegazzia terebrata,Fungi
Alnus glutinosa,Plant,hasEpiphyte,Dimerella pineti,Fungi
Alnus glutinosa,Plant,hasEpiphyte,Loxospora elatina,Fungi
Picea glauca,Plant,hasEpiphyte,Lepraria incana,Fungi
Frangula alnus,Plant,hasEpiphyte,Pertusaria leioplaca,Fungi
Fraxinus excelsior,Plant,hasEpiphyte,Rinodina degeliana,Fungi
Lecanora glabrata,Fungi,epiphyteOf,Quercus robur,Plant
Parmelia sulcata,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Corylus avellana,Plant,hasEpiphyte,Ochrolechia microstictoides,Fungi
Betula pendula,Plant,hasEpiphyte,Biatora hemipolia,Fungi
Quercus robur,Plant,hasEpiphyte,Lecanora symmicta,Fungi
Chaenotheca trichialis,Fungi,epiphyteOf,Picea glauca,Plant
Populus tremula,Plant,hasEpiphyte,Lecania cyrtella,Fungi
Lepraria lobificans,Fungi,epiphyteOf,Picea glauca,Plant
Quercus robur,Plant,hasEpiphyte,Lecidella elaeochroma,Fungi
Sorbus aucuparia,Plant,hasEpiphyte,Loxospora elatina,Fungi
Chaenotheca ferruginea,Fungi,epiphyteOf,Alnus glutinosa,Plant
Carpinus betulus,Plant,hasEpiphyte,Violella fucata,Fungi
Chaenotheca stemonea,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Chaenotheca furfuracea,Fungi,epiphyteOf,Quercus robur,Plant
Tilia cordata,Plant,hasEpiphyte,Chaenotheca chlorella,Fungi
Betula pendula,Plant,hasEpiphyte,Chaenotheca stemonea,Fungi
Quercus robur,Plant,hasEpiphyte,Physcia adscendens,Fungi
Cladonia squamosa,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Arthonia vinosa,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Arthonia spadicea,Fungi,epiphyteOf,Populus tremula,Plant
Hypogymnia physodes,Fungi,epiphyteOf,Acer platanoides,Plant
Pinus sylvestris,Plant,hasEpiphyte,Ochrolechia microstictoides,Fungi
Picea glauca,Plant,hasEpiphyte,Buellia griseovirens,Fungi
Acer platanoides,Plant,hasEpiphyte,Chaenotheca brachypoda,Fungi
Loxospora elatina,Fungi,epiphyteOf,Pinus sylvestris,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Lecanora farinaria,Fungi
Opegrapha vermicellifera,Fungi,epiphyteOf,Acer platanoides,Plant
Menegazzia terebrata,Fungi,epiphyteOf,Tilia cordata,Plant
Lepra amara,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Betula pendula,Plant,hasEpiphyte,Hypogymnia physodes,Fungi
Quercus robur,Plant,hasEpiphyte,Chaenotheca furfuracea,Fungi
Hypogymnia physodes,Fungi,epiphyteOf,Alnus glutinosa,Plant
Alnus glutinosa,Plant,hasEpiphyte,Arthonia arthonioides,Fungi
Cetrelia cetrarioides,Fungi,epiphyteOf,Carpinus betulus,Plant
Quercus robur,Plant,hasEpiphyte,Evernia prunastri,Fungi
Carpinus betulus,Plant,hasEpiphyte,Evernia prunastri,Fungi
Picea glauca,Plant,hasEpiphyte,Cetrelia cetrarioides,Fungi
Arthonia spadicea,Fungi,epiphyteOf,Carpinus betulus,Plant
Cetrelia cetrarioides,Fungi,epiphyteOf,Populus tremula,Plant
Graphis scripta,Fungi,epiphyteOf,Carpinus betulus,Plant
Lecanora expallens,Fungi,epiphyteOf,Carpinus betulus,Plant
Populus tremula,Plant,hasEpiphyte,Bacidina sulphurella,Fungi
Arthonia cinereopruinosa,Fungi,epiphyteOf,Quercus robur,Plant
Alnus glutinosa,Plant,hasEpiphyte,Pertusaria flavida,Fungi
Peltigera canina,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Sorbus aucuparia,Plant,hasEpiphyte,Porina aenea,Fungi
Carpinus betulus,Plant,hasEpiphyte,Scoliciosporum sarothamni,Fungi
Fraxinus excelsior,Plant,hasEpiphyte,Myriolecis persimilis,Fungi
Hypotrachyna revoluta,Fungi,epiphyteOf,Carpinus betulus,Plant
Quercus robur,Plant,hasEpiphyte,Ochrolechia subviridis,Fungi
Arthonia mediella,Fungi,epiphyteOf,Quercus robur,Plant
Betula pendula,Plant,hasEpiphyte,Microcalicium disseminatum,Fungi
Fraxinus excelsior,Plant,hasEpiphyte,Fellhanera gyrophorica,Fungi
Calicium adspersum,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Carpinus betulus,Plant,hasEpiphyte,Dimerella pineti,Fungi
Fraxinus excelsior,Plant,hasEpiphyte,Bacidia subincompta,Fungi
Quercus robur,Plant,hasEpiphyte,Physcia stellaris,Fungi
Picea glauca,Plant,hasEpiphyte,Ropalospora viridis,Fungi
Corylus avellana,Plant,hasEpiphyte,Graphis betulina,Fungi
Tuckermannopsis chlorophylla,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Pyrenula nitidella,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Corylus avellana,Plant,hasEpiphyte,Xanthoria parietina,Fungi
Lepraria rigidula,Fungi,epiphyteOf,Tilia cordata,Plant
Athallia pyracea,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Scoliciosporum chlorococcum,Fungi
Betula pendula,Plant,hasEpiphyte,Arthonia spadicea,Fungi
Picea glauca,Plant,hasEpiphyte,Lecanora symmicta,Fungi
Quercus robur,Plant,hasEpiphyte,Pyrenula nitidella,Fungi
Chaenotheca furfuracea,Fungi,epiphyteOf,Acer platanoides,Plant
Tilia cordata,Plant,hasEpiphyte,Hypogymnia tubulosa,Fungi
Fraxinus excelsior,Plant,hasEpiphyte,Calicium adspersum,Fungi
Acer platanoides,Plant,hasEpiphyte,Parmelia sulcata,Fungi
Violella fucata,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Chaenotheca trichialis,Fungi,epiphyteOf,Betula pendula,Plant
Populus tremula,Plant,hasEpiphyte,Cetrelia cetrarioides,Fungi
Calicium viride,Fungi,epiphyteOf,Quercus robur,Plant
Tilia cordata,Plant,hasEpiphyte,Fuscidea arboricola,Fungi
Chrysothrix candelaris,Fungi,epiphyteOf,Quercus robur,Plant
Tilia cordata,Plant,hasEpiphyte,Menegazzia terebrata,Fungi
Porina aenea,Fungi,epiphyteOf,Tilia cordata,Plant
Corylus avellana,Plant,hasEpiphyte,Ochrolechia arborea,Fungi
Evernia prunastri,Fungi,epiphyteOf,Betula pendula,Plant
Tilia cordata,Plant,hasEpiphyte,Felipes leucopellaeus,Fungi
Rinodina efflorescens,Fungi,epiphyteOf,Quercus robur,Plant
Lepraria rigidula,Fungi,epiphyteOf,Betula pendula,Plant
Tilia cordata,Plant,hasEpiphyte,Pertusaria leioplaca,Fungi
Biatora ocelliformis,Fungi,epiphyteOf,Quercus robur,Plant
Betula pendula,Plant,hasEpiphyte,Lecania cyrtella,Fungi
Lepraria elobata,Fungi,epiphyteOf,Corylus avellana,Plant
Carpinus betulus,Plant,hasEpiphyte,Tuckermannopsis chlorophylla,Fungi
Ochrolechia subviridis,Fungi,epiphyteOf,Populus tremula,Plant
Alnus glutinosa,Plant,hasEpiphyte,Rinodina efflorescens,Fungi
Chaenotheca trichialis,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Corylus avellana,Plant,hasEpiphyte,Cetrelia monachorum,Fungi
Violella fucata,Fungi,epiphyteOf,Carpinus betulus,Plant
Populus tremula,Plant,hasEpiphyte,Reichlingia leopoldii,Fungi
Pinus sylvestris,Plant,hasEpiphyte,Pseudevernia furfuracea,Fungi
Fraxinus excelsior,Plant,hasEpiphyte,Halecania viridescens,Fungi
Zwackhia viridis,Fungi,epiphyteOf,Corylus avellana,Plant
Hypogymnia physodes,Fungi,epiphyteOf,Pinus sylvestris,Plant
Lepraria elobata,Fungi,epiphyteOf,Populus tremula,Plant
Corylus avellana,Plant,hasEpiphyte,Ochrolechia subviridis,Fungi
Populus tremula,Plant,hasEpiphyte,Cladonia digitata,Fungi
Catillaria nigroclavata,Fungi,epiphyteOf,Tilia cordata,Plant
Carpinus betulus,Plant,hasEpiphyte,Opegrapha niveoatra,Fungi
Dimerella pineti,Fungi,epiphyteOf,Quercus robur,Plant
Lecanora pulicaris,Fungi,epiphyteOf,Acer platanoides,Plant
Corylus avellana,Plant,hasEpiphyte,Ochrolechia turneri,Fungi
Fraxinus excelsior,Plant,hasEpiphyte,Ochrolechia arborea,Fungi
Micarea byssacea,Fungi,epiphyteOf,Pinus sylvestris,Plant
Corylus avellana,Plant,hasEpiphyte,Graphis scripta,Fungi
Evernia prunastri,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Xanthoria parietina,Fungi
Sorbus aucuparia,Plant,hasEpiphyte,Arthothelium ruanum,Fungi
Tilia cordata,Plant,hasEpiphyte,Pertusaria coronata,Fungi
Betula pendula,Plant,hasEpiphyte,Melanohalea exasperatula,Fungi
Pertusaria coccodes,Fungi,epiphyteOf,Quercus robur,Plant
Bacidia laurocerasi,Fungi,epiphyteOf,Corylus avellana,Plant
Lecidea nylanderi,Fungi,epiphyteOf,Populus tremula,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Cladonia chlorophaea,Fungi
Frangula alnus,Plant,hasEpiphyte,Lecidella elaeochroma,Fungi
Fraxinus excelsior,Plant,hasEpiphyte,Pachyphiale fagicola,Fungi
Populus tremula,Plant,hasEpiphyte,Rinodina pyrina,Fungi
Inoderma byssaceum,Fungi,epiphyteOf,Quercus robur,Plant
Tilia cordata,Plant,hasEpiphyte,Cetrelia olivetorum,Fungi
Populus tremula,Plant,hasEpiphyte,Athallia pyracea,Fungi
Quercus robur,Plant,hasEpiphyte,Bacidia subincompta,Fungi
Biatora ocelliformis,Fungi,epiphyteOf,Tilia cordata,Plant
Carpinus betulus,Plant,hasEpiphyte,Arthonia spadicea,Fungi
Graphis scripta,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Rinodina degeliana,Fungi,epiphyteOf,Corylus avellana,Plant
Parmelia sulcata,Fungi,epiphyteOf,Populus tremula,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Lecanora thysanophora,Fungi
Chaenotheca stemonea,Fungi,epiphyteOf,Carpinus betulus,Plant
Acer platanoides,Plant,hasEpiphyte,Lecanographa amylacea,Fungi
Picea glauca,Plant,hasEpiphyte,Lecanora farinaria,Fungi
Calicium salicinum,Fungi,epiphyteOf,Quercus robur,Plant
Tilia cordata,Plant,hasEpiphyte,Peltigera praetextata,Fungi
Picea glauca,Plant,hasEpiphyte,Parmelia saxatilis,Fungi
Melanelixia subaurifera,Fungi,epiphyteOf,Quercus robur,Plant
Betula pendula,Plant,hasEpiphyte,Usnea dasopoga,Fungi
Quercus robur,Plant,hasEpiphyte,Arthonia vinosa,Fungi
Cetrelia monachorum,Fungi,epiphyteOf,Tilia cordata,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Felipes leucopellaeus,Fungi
Fraxinus excelsior,Plant,hasEpiphyte,Biatora mendax,Fungi
Fraxinus excelsior,Plant,hasEpiphyte,Chaenotheca chrysocephala,Fungi
Lecanora expallens,Fungi,epiphyteOf,Acer platanoides,Plant
Betula pendula,Plant,hasEpiphyte,Arthonia vinosa,Fungi
Hypogymnia physodes,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Lecanographa amylacea,Fungi
Ochrolechia subviridis,Fungi,epiphyteOf,Quercus robur,Plant
Tuckermannopsis chlorophylla,Fungi,epiphyteOf,Betula pendula,Plant
Sorbus aucuparia,Plant,hasEpiphyte,Zwackhia viridis,Fungi
Lecanora argentata,Fungi,epiphyteOf,Tilia cordata,Plant
Biatora ligni-mollis,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Alnus glutinosa,Plant,hasEpiphyte,Physcia tenella,Fungi
Quercus robur,Plant,hasEpiphyte,Porina aenea,Fungi
Fellhanera gyrophorica,Fungi,epiphyteOf,Picea glauca,Plant
Chrysothrix candelaris,Fungi,epiphyteOf,Ulmus minor,Plant
Calicium adspersum,Fungi,epiphyteOf,Tilia cordata,Plant
Lepraria lobificans,Fungi,epiphyteOf,Corylus avellana,Plant
Corylus avellana,Plant,hasEpiphyte,Cladonia fimbriata,Fungi
Alyxoria varia,Fungi,epiphyteOf,Quercus robur,Plant
Acer platanoides,Plant,hasEpiphyte,Lepraria incana,Fungi
Fraxinus excelsior,Plant,hasEpiphyte,Usnea hirta ex,Fungi
Lecanora compallens,Fungi,epiphyteOf,Picea glauca,Plant
Pertusaria pertusa,Fungi,epiphyteOf,Corylus avellana,Plant
Sorbus aucuparia,Plant,hasEpiphyte,Violella fucata,Fungi
Alnus glutinosa,Plant,hasEpiphyte,Lepraria rigidula,Fungi
Alnus glutinosa,Plant,hasEpiphyte,Lecidea nylanderi,Fungi
Acer platanoides,Plant,hasEpiphyte,Chaenotheca gracilenta,Fungi
Fraxinus excelsior,Plant,hasEpiphyte,Dimerella pineti,Fungi
Quercus robur,Plant,hasEpiphyte,Lecanora compallens,Fungi
Graphis scripta,Fungi,epiphyteOf,Tilia cordata,Plant
Alnus glutinosa,Plant,hasEpiphyte,Micarea byssacea,Fungi
Flavoparmelia caperata,Fungi,epiphyteOf,Picea glauca,Plant
Chrysothrix candelaris,Fungi,epiphyteOf,Picea glauca,Plant
Acer platanoides,Plant,hasEpiphyte,Lecanora expallens,Fungi
Quercus robur,Plant,hasEpiphyte,Sclerophora nivea,Fungi
Alnus glutinosa,Plant,hasEpiphyte,Ochrolechia arborea,Fungi
Pseudevernia furfuracea,Fungi,epiphyteOf,Quercus robur,Plant
Quercus robur,Plant,hasEpiphyte,Phlyctis argena,Fungi
Picea glauca,Plant,hasEpiphyte,Fuscidea arboricola,Fungi
Peltigera praetextata,Fungi,epiphyteOf,Alnus glutinosa,Plant
Ulmus minor,Plant,hasEpiphyte,Inoderma byssaceum,Fungi
Calicium viride,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Bacidia auerswaldii,Fungi,epiphyteOf,Quercus robur,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Rinodina pyrina,Fungi
Lecanora chlarotera,Fungi,epiphyteOf,Populus tremula,Plant
Quercus robur,Plant,hasEpiphyte,Pseudevernia furfuracea,Fungi
Usnea subfloridana,Fungi,epiphyteOf,Betula pendula,Plant
Picea glauca,Plant,hasEpiphyte,Lepraria lobificans,Fungi
Ropalospora viridis,Fungi,epiphyteOf,Carpinus betulus,Plant
Betula pendula,Plant,hasEpiphyte,Lecania naegelii,Fungi
Populus tremula,Plant,hasEpiphyte,Zwackhia viridis,Fungi
Fraxinus excelsior,Plant,hasEpiphyte,Lecanora pulicaris,Fungi
Acer platanoides,Plant,hasEpiphyte,Anisomeridium polypori,Fungi
Peltigera praetextata,Fungi,epiphyteOf,Ulmus minor,Plant
Arthothelium ruanum,Fungi,epiphyteOf,Tilia cordata,Plant
Tuckermannopsis chlorophylla,Fungi,epiphyteOf,Picea glauca,Plant
Graphis scripta,Fungi,epiphyteOf,Tilia cordata,Plant
Melanelixia subaurifera,Fungi,epiphyteOf,Tilia cordata,Plant
Quercus robur,Plant,hasEpiphyte,Dimerella pineti,Fungi
Quercus robur,Plant,hasEpiphyte,Lecanora argentata,Fungi
Lepraria vouauxii,Fungi,epiphyteOf,Populus tremula,Plant
Fellhanera gyrophorica,Fungi,epiphyteOf,Quercus robur,Plant
Alnus glutinosa,Plant,hasEpiphyte,Lepra amara,Fungi
Usnea hirta ex,Fungi,epiphyteOf,Corylus avellana,Plant
Physcia tenella,Fungi,epiphyteOf,Quercus robur,Plant
Xanthoria polycarpa,Fungi,epiphyteOf,Quercus robur,Plant
Physcia adscendens,Fungi,epiphyteOf,Carpinus betulus,Plant
Corylus avellana,Plant,hasEpiphyte,Pertusaria coccodes,Fungi
Tilia cordata,Plant,hasEpiphyte,Opegrapha niveoatra,Fungi
Inoderma sorediatum,Fungi,epiphyteOf,Quercus robur,Plant
Picea glauca,Plant,hasEpiphyte,Felipes leucopellaeus,Fungi
Porina aenea,Fungi,epiphyteOf,Betula pendula,Plant
Tilia cordata,Plant,hasEpiphyte,Lepraria lobificans,Fungi
Phlyctis argena,Fungi,epiphyteOf,Picea glauca,Plant
Carpinus betulus,Plant,hasEpiphyte,Chaenotheca trichialis,Fungi
Fraxinus excelsior,Plant,hasEpiphyte,Violella fucata,Fungi
Alnus glutinosa,Plant,hasEpiphyte,Lecanora thysanophora,Fungi
Graphis scripta,Fungi,epiphyteOf,Corylus avellana,Plant
Populus tremula,Plant,hasEpiphyte,Ropalospora viridis,Fungi
Hypogymnia physodes,Fungi,epiphyteOf,Populus tremula,Plant
Populus tremula,Plant,hasEpiphyte,Ramalina pollinaria,Fungi
Lepraria eburnea,Fungi,epiphyteOf,Acer platanoides,Plant
Anaptychia ciliaris,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Quercus robur,Plant,hasEpiphyte,Opegrapha vulgata,Fungi
Betula pendula,Plant,hasEpiphyte,Platismatia glauca,Fungi
Alnus glutinosa,Plant,hasEpiphyte,Sclerophora nivea,Fungi
Carpinus betulus,Plant,hasEpiphyte,Inoderma byssaceum,Fungi
Chaenotheca stemonea,Fungi,epiphyteOf,Acer platanoides,Plant
Alnus glutinosa,Plant,hasEpiphyte,Zwackhia viridis,Fungi
Tilia cordata,Plant,hasEpiphyte,Pertusaria flavida,Fungi
Carpinus betulus,Plant,hasEpiphyte,Arthonia vinosa,Fungi
Populus tremula,Plant,hasEpiphyte,Lecanora carpinea,Fungi
Bacidina sulphurella,Fungi,epiphyteOf,Tilia cordata,Plant
Rinodina degeliana,Fungi,epiphyteOf,Alnus glutinosa,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Pyrenula nitida,Fungi
Quercus robur,Plant,hasEpiphyte,Reichlingia leopoldii,Fungi
Acer platanoides,Plant,hasEpiphyte,Graphis scripta,Fungi
Lecanora symmicta,Fungi,epiphyteOf,Betula pendula,Plant
Tilia cordata,Plant,hasEpiphyte,Chaenotheca ferruginea,Fungi
Cladonia coniocraea,Fungi,epiphyteOf,Sorbus aucuparia,Plant
Fellhanera gyrophorica,Fungi,epiphyteOf,Corylus avellana,Plant
Inoderma byssaceum,Fungi,epiphyteOf,Ulmus minor,Plant
Lecanora thysanophora,Fungi,epiphyteOf,Populus tremula,Plant
Melanelixia subaurifera,Fungi,epiphyteOf,Acer platanoides,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Biatora hemipolia,Fungi
Tilia cordata,Plant,hasEpiphyte,Phlyctis argena,Fungi
Betula pendula,Plant,hasEpiphyte,Melanelixia subaurifera,Fungi
Populus tremula,Plant,hasEpiphyte,Fuscidea arboricola,Fungi
Carpinus betulus,Plant,hasEpiphyte,Ramalina farinacea,Fungi
Hypotrachyna revoluta,Fungi,epiphyteOf,Alnus glutinosa,Plant
Quercus robur,Plant,hasEpiphyte,Bacidia laurocerasi,Fungi
Parmelia ernstiae,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Carpinus betulus,Plant,hasEpiphyte,Pyrenula nitidella,Fungi
Alnus glutinosa,Plant,hasEpiphyte,Ochrolechia subviridis,Fungi
Inoderma byssaceum,Fungi,epiphyteOf,Carpinus betulus,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Inoderma sorediatum,Fungi
Carpinus betulus,Plant,hasEpiphyte,Opegrapha vermicellifera,Fungi
Betula pendula,Plant,hasEpiphyte,Tuckermannopsis chlorophylla,Fungi
Pinus sylvestris,Plant,hasEpiphyte,Cladonia macilenta,Fungi
Fraxinus excelsior,Plant,hasEpiphyte,Bacidina sulphurella,Fungi
Parmelia ernstiae,Fungi,epiphyteOf,Picea glauca,Plant
Tilia cordata,Plant,hasEpiphyte,Scoliciosporum chlorococcum,Fungi
Corylus avellana,Plant,hasEpiphyte,Ramalina farinacea,Fungi
Populus tremula,Plant,hasEpiphyte,Violella fucata,Fungi
Inoderma byssaceum,Fungi,epiphyteOf,Alnus glutinosa,Plant
Tilia cordata,Plant,hasEpiphyte,Lepra albescens,Fungi
Quercus robur,Plant,hasEpiphyte,Chaenotheca ferruginea,Fungi
Alnus glutinosa,Plant,hasEpiphyte,Trapeliopsis flexuosa,Fungi
Fraxinus excelsior,Plant,hasEpiphyte,Ochrolechia microstictoides,Fungi
Quercus robur,Plant,hasEpiphyte,Physcia tenella,Fungi
Carpinus betulus,Plant,hasEpiphyte,Chrysothrix candelaris,Fungi
Carpinus betulus,Plant,hasEpiphyte,Melanelixia subaurifera,Fungi
Biatora ocelliformis,Fungi,epiphyteOf,Frangula alnus,Plant
Tilia cordata,Plant,hasEpiphyte,Porina aenea,Fungi
Fraxinus excelsior,Plant,hasEpiphyte,Lecanora glabrata,Fungi
Sclerophora nivea,Fungi,epiphyteOf,Quercus robur,Plant
Acer platanoides,Plant,hasEpiphyte,Lecanora thysanophora,Fungi
Betula pendula,Plant,hasEpiphyte,Parmelia saxatilis,Fungi
Pertusaria pertusa,Fungi,epiphyteOf,Alnus glutinosa,Plant
Betula pendula,Plant,hasEpiphyte,Ochrolechia subviridis,Fungi
Tilia cordata,Plant,hasEpiphyte,Melanelixia subaurifera,Fungi
Betula pendula,Plant,hasEpiphyte,Cladonia fimbriata,Fungi
Corylus avellana,Plant,hasEpiphyte,Evernia prunastri,Fungi
Fraxinus excelsior,Plant,hasEpiphyte,Cladonia fimbriata,Fungi
Quercus robur,Plant,hasEpiphyte,Opegrapha vermicellifera,Fungi
Porina aenea,Fungi,epiphyteOf,Ulmus minor,Plant
Xanthoria parietina,Fungi,epiphyteOf,Betula pendula,Plant
Felipes leucopellaeus,Fungi,epiphyteOf,Tilia cordata,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Lecania croatica,Fungi
Pyrenula nitida,Fungi,epiphyteOf,Carpinus betulus,Plant
Lecanora pulicaris,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Carpinus betulus,Plant,hasEpiphyte,Platismatia glauca,Fungi
Graphis scripta,Fungi,epiphyteOf,Betula pendula,Plant
Quercus robur,Plant,hasEpiphyte,Graphis scripta,Fungi
Alnus glutinosa,Plant,hasEpiphyte,Peltigera praetextata,Fungi
Opegrapha niveoatra,Fungi,epiphyteOf,Tilia cordata,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Cladonia digitata,Fungi
Lepraria incana,Fungi,epiphyteOf,Pinus sylvestris,Plant
Lecanora thysanophora,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Fellhanera gyrophorica,Fungi,epiphyteOf,Carpinus betulus,Plant
Quercus robur,Plant,hasEpiphyte,Arthonia spadicea,Fungi
Arthonia spadicea,Fungi,epiphyteOf,Picea glauca,Plant
Chaenotheca stemonea,Fungi,epiphyteOf,Picea glauca,Plant
Carpinus betulus,Plant,hasEpiphyte,Lecanora farinaria,Fungi
Picea glauca,Plant,hasEpiphyte,Lecanora compallens,Fungi
Gyalecta ulmi,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Ochrolechia subviridis,Fungi,epiphyteOf,Corylus avellana,Plant
Tilia cordata,Plant,hasEpiphyte,Micarea byssacea,Fungi
Corylus avellana,Plant,hasEpiphyte,Graphis scripta,Fungi
Biatora ocelliformis,Fungi,epiphyteOf,Carpinus betulus,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Acrocordia gemmata,Fungi
Graphis scripta,Fungi,epiphyteOf,Betula pendula,Plant
Lepraria elobata,Fungi,epiphyteOf,Pinus sylvestris,Plant
Carpinus betulus,Plant,hasEpiphyte,Inoderma sorediatum,Fungi
Fuscidea arboricola,Fungi,epiphyteOf,Corylus avellana,Plant
Ropalospora viridis,Fungi,epiphyteOf,Corylus avellana,Plant
Carpinus betulus,Plant,hasEpiphyte,Graphis betulina,Fungi
Ochrolechia arborea,Fungi,epiphyteOf,Corylus avellana,Plant
Parmelia sulcata,Fungi,epiphyteOf,Tilia cordata,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Arthonia vinosa,Fungi
Carpinus betulus,Plant,hasEpiphyte,Zwackhia viridis,Fungi
Lecidella elaeochroma,Fungi,epiphyteOf,Acer platanoides,Plant
Arthonia arthonioides,Fungi,epiphyteOf,Tilia cordata,Plant
Parmelia sulcata,Fungi,epiphyteOf,Acer platanoides,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Cladonia squamosa,Fungi
Lecanora expallens,Fungi,epiphyteOf,Tilia cordata,Plant
Chaenotheca ferruginea,Fungi,epiphyteOf,Betula pendula,Plant
Dimerella pineti,Fungi,epiphyteOf,Populus tremula,Plant
Pertusaria leioplaca,Fungi,epiphyteOf,Tilia cordata,Plant
Carpinus betulus,Plant,hasEpiphyte,Melanohalea exasperatula,Fungi
Pertusaria flavida,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Cladonia macilenta,Fungi
Microcalicium disseminatum,Fungi,epiphyteOf,Acer platanoides,Plant
Acrocordia gemmata,Fungi,epiphyteOf,Carpinus betulus,Plant
Lecidea nylanderi,Fungi,epiphyteOf,Quercus robur,Plant
Acer platanoides,Plant,hasEpiphyte,Pertusaria coronata,Fungi
Graphis scripta,Fungi,epiphyteOf,Picea glauca,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Chaenotheca ferruginea,Fungi
Cetrelia cetrarioides,Fungi,epiphyteOf,Tilia cordata,Plant
Violella fucata,Fungi,epiphyteOf,Picea glauca,Plant
Cetrelia olivetorum,Fungi,epiphyteOf,Tilia cordata,Plant
Platismatia glauca,Fungi,epiphyteOf,Alnus glutinosa,Plant
Picea glauca,Plant,hasEpiphyte,Cladonia coniocraea,Fungi
Lecanora argentata,Fungi,epiphyteOf,Carpinus betulus,Plant
Felipes leucopellaeus,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Lepraria eburnea,Fungi,epiphyteOf,Fraxinus excelsior,Plant
Corylus avellana,Plant,hasEpiphyte,Pertusaria leioplaca,Fungi
Cladonia coniocraea,Fungi,epiphyteOf,Tilia cordata,Plant
Fuscidea arboricola,Fungi,epiphyteOf,Quercus robur,Plant
Fraxinus excelsior,Plant,hasEpiphyte,Opegrapha vermicellifera,Fungi
