Species_1,Kingdom_1,Interaction_type,Species_2,Kingdom_2
Juncus acutus,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Hedera maderensis,Plant
Rumex longifolius,Plant,eatenBy,Capreolus capreolus italicus,Animal
Alnus glutinosa,Plant,eatenBy,Capreolus capreolus italicus,Animal
Taraxacum officinale,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Carex distachya,Plant
Rumex bucephalophorus,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Quercus suber,Plant
Capreolus capreolus italicus,Animal,eats,Ruscus aculeatus,Plant
Capreolus capreolus italicus,Animal,eats,Bromus inermis,Plant
Capreolus capreolus italicus,Animal,eats,Aremonia agrimonoides,Plant
Capreolus capreolus italicus,Animal,eats,Rubus canescens,Plant
Dactylis glomerata,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Ranunculus bulbosus,Plant
Spartium junceum,Plant,eatenBy,Capreolus capreolus italicus,Animal
Lonicera etrusca,Plant,eatenBy,Capreolus capreolus italicus,Animal
Quercus suber,Plant,eatenBy,Capreolus capreolus italicus,Animal
Plantago coronopus,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Plantago lanceolata,Plant
Capreolus capreolus italicus,Animal,eats,Potentilla reptans,Plant
Capreolus capreolus italicus,Animal,eats,Ulmus minor,Plant
Capreolus capreolus italicus,Animal,eats,Cistus salviifolius,Plant
Capreolus capreolus italicus,Animal,eats,Verbascum thapsus,Plant
Capreolus capreolus italicus,Animal,eats,Hedera maderensis,Plant
Capreolus capreolus italicus,Animal,eats,Rumex sanguineus,Plant
Capreolus capreolus italicus,Animal,eats,Galium mollugo,Plant
Quercus pubescens pubescens,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Verbascum sinuatum,Plant
Capreolus capreolus italicus,Animal,eats,Cormus domestica,Plant
Ranunculus bulbosus,Plant,eatenBy,Capreolus capreolus italicus,Animal
Asparagus acutifolius,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Dioscorea communis,Plant
Capreolus capreolus italicus,Animal,eats,Asparagus acutifolius,Plant
Capreolus capreolus italicus,Animal,eats,Cytisus scoparius,Plant
Carex flacca,Plant,eatenBy,Capreolus capreolus italicus,Animal
Trifolium pratense,Plant,eatenBy,Capreolus capreolus italicus,Animal
Galium verum,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Briza maxima,Plant
Capreolus capreolus italicus,Animal,eats,Quercus pyrenaica,Plant
Asphodelus ramosus,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Asphodelus ramosus,Plant
Rumex sanguineus,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Alnus glutinosa,Plant
Capreolus capreolus italicus,Animal,eats,Euonymus europaeus,Plant
Potentilla reptans,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Verbascum sinuatum,Plant
Capreolus capreolus italicus,Animal,eats,Cistus salviifolius,Plant
Capreolus capreolus italicus,Animal,eats,Plantago serraria,Plant
Capreolus capreolus italicus,Animal,eats,Smilax aspera,Plant
Taraxacum officinale,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Alnus glutinosa,Plant
Trifolium pratense,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Galium mollugo,Plant
Capreolus capreolus italicus,Animal,eats,Rubia peregrina,Plant
Capreolus capreolus italicus,Animal,eats,Trifolium pratense,Plant
Syringa vulgaris,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Ruscus aculeatus,Plant
Capreolus capreolus italicus,Animal,eats,Pyrus communis,Plant
Galium verum,Plant,eatenBy,Capreolus capreolus italicus,Animal
Rhamnus alaternus,Plant,eatenBy,Capreolus capreolus italicus,Animal
Torminalis glaberrima,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Cistus monspeliensis,Plant
Dactylis glomerata,Plant,eatenBy,Capreolus capreolus italicus,Animal
Juncus acutus,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Rosa sempervirens,Plant
Ulmus minor,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Plantago lanceolata,Plant
Plantago lanceolata,Plant,eatenBy,Capreolus capreolus italicus,Animal
Prunus americana,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Ranunculus repens,Plant
Hedera maderensis,Plant,eatenBy,Capreolus capreolus italicus,Animal
Aremonia agrimonoides,Plant,eatenBy,Capreolus capreolus italicus,Animal
Fraxinus angustifolia,Plant,eatenBy,Capreolus capreolus italicus,Animal
Galium mollugo,Plant,eatenBy,Capreolus capreolus italicus,Animal
Erica arborea,Plant,eatenBy,Capreolus capreolus italicus,Animal
Brachypodium sylvaticum,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Pistacia lentiscus,Plant
Smilax aspera,Plant,eatenBy,Capreolus capreolus italicus,Animal
Trifolium repens,Plant,eatenBy,Capreolus capreolus italicus,Animal
Alnus glutinosa,Plant,eatenBy,Capreolus capreolus italicus,Animal
Prunus cocomilia,Plant,eatenBy,Capreolus capreolus italicus,Animal
Trifolium aureum,Plant,eatenBy,Capreolus capreolus italicus,Animal
Rumex conglomeratus,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Rumex longifolius,Plant
Capreolus capreolus italicus,Animal,eats,Rumex conglomeratus,Plant
Capreolus capreolus italicus,Animal,eats,Rubus canescens,Plant
Capreolus capreolus italicus,Animal,eats,Potentilla reptans,Plant
Cytisus hirsutus,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Spartium junceum,Plant
Fraxinus angustifolia,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Spartium junceum,Plant
Corylus avellana,Plant,eatenBy,Capreolus capreolus italicus,Animal
Rubus canescens,Plant,eatenBy,Capreolus capreolus italicus,Animal
Carex flacca,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Galium verum,Plant
Ficaria verna verna,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Trifolium repens,Plant
Capreolus capreolus italicus,Animal,eats,Arbutus unedo,Plant
Rubus ulmifolius,Plant,eatenBy,Capreolus capreolus italicus,Animal
Clematis flammula,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Ranunculus repens,Plant
Phillyrea latifolia,Plant,eatenBy,Capreolus capreolus italicus,Animal
Euonymus atropurpureus,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Prangos ferulacea,Plant
Capreolus capreolus italicus,Animal,eats,Cistus monspeliensis,Plant
Pyrus spinosa,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Foeniculum vulgare,Plant
Prangos ferulacea,Plant,eatenBy,Capreolus capreolus italicus,Animal
Dioscorea communis,Plant,eatenBy,Capreolus capreolus italicus,Animal
Bromus inermis,Plant,eatenBy,Capreolus capreolus italicus,Animal
Rumex bucephalophorus,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Clematis flammula,Plant
Rumex conglomeratus,Plant,eatenBy,Capreolus capreolus italicus,Animal
Cistus salviifolius,Plant,eatenBy,Capreolus capreolus italicus,Animal
Crataegus monogyna,Plant,eatenBy,Capreolus capreolus italicus,Animal
Capreolus capreolus italicus,Animal,eats,Syringa vulgaris,Plant
Capreolus capreolus italicus,Animal,eats,Brachypodium sylvaticum,Plant
Capreolus capreolus italicus,Animal,eats,Trifolium repens,Plant
Capreolus capreolus italicus,Animal,eats,Trifolium pratense,Plant
Capreolus capreolus italicus,Animal,eats,Quercus helferiana,Plant
Foeniculum vulgare,Plant,eatenBy,Capreolus capreolus italicus,Animal
Rosa canina,Plant,eatenBy,Capreolus capreolus italicus,Animal
Emberiza citrinella,Animal,eatenBy,Garrulus glandarius,Animal
Martes,Animal,eats,Turdus philomelos,Animal
Martes,Animal,eats,Emberiza citrinella,Animal
Turdus philomelos,Animal,eatenBy,Garrulus glandarius,Animal
Prunella modularis,Animal,eatenBy,Martes martes,Animal
Garrulus glandarius,Animal,eats,Sylvia atricapilla,Animal
Sciurus vulgaris,Animal,eats,Sylvia atricapilla,Animal
Sciurus vulgaris,Animal,eats,Hippolais icterina,Animal
Sylvia borin,Animal,eatenBy,Martes,Animal
Fringilla coelebs,Animal,eatenBy,Asio otus,Animal
Felis catus,Animal,eats,Phylloscopus collybita,Animal
Dendrocopos major,Animal,eats,Fringilla coelebs,Animal
Sciurus vulgaris,Animal,eats,Fringilla coelebs,Animal
Turdus philomelos,Animal,eatenBy,Garrulus glandarius,Animal
Martes,Animal,eats,Sylvia atricapilla,Animal
Hippolais icterina,Animal,eatenBy,Martes martes,Animal
Dendrocopos major,Animal,eats,Turdus philomelos,Animal
Acrocephalus palustris,Animal,eatenBy,Martes,Animal
Sylvia atricapilla,Animal,eatenBy,Sciurus vulgaris,Animal
Martes,Animal,eats,Sylvia borin,Animal
Mustela,Animal,eats,Turdus philomelos,Animal
Emberiza citrinella,Animal,eatenBy,Lanius collurio,Animal
Prunella modularis,Animal,eatenBy,Garrulus glandarius,Animal
Emberiza citrinella,Animal,eatenBy,Meles meles,Animal
Luscinia megarhynchos,Animal,eatenBy,Martes,Animal
Garrulus glandarius,Animal,eats,Sylvia atricapilla,Animal
Fringilla coelebs,Animal,eatenBy,Sciurus vulgaris,Animal
Martes,Animal,eats,Fringilla coelebs,Animal
Sylvia atricapilla,Animal,eatenBy,Dendrocopos major,Animal
Martes martes,Animal,eats,Turdus philomelos,Animal
Martes,Animal,eats,Turdus merula,Animal
Garrulus glandarius,Animal,eatenBy,Martes,Animal
Sylvia borin,Animal,eatenBy,Lanius collurio,Animal
Sylvia atricapilla,Animal,eatenBy,Strix aluco,Animal
Prunella modularis,Animal,eatenBy,Mustela erminea,Animal
Martes martes,Animal,eats,Turdus merula,Animal
Turdus philomelos,Animal,eatenBy,Dendrocopos major,Animal
Turdus philomelos,Animal,eatenBy,Accipiter nisus,Animal
Turdus merula,Animal,eatenBy,Garrulus glandarius,Animal
Phylloscopus collybita,Animal,eatenBy,Felis catus,Animal
Accipiter nisus,Animal,eats,Turdus merula,Animal
Turdus merula,Animal,eatenBy,Martes,Animal
Martes martes,Animal,eats,Prunella modularis,Animal
Martes,Animal,eats,Fringilla coelebs,Animal
Phylloscopus collybita,Animal,eatenBy,Garrulus glandarius,Animal
Turdus merula,Animal,eatenBy,Sciurus vulgaris,Animal
Mustela nivalis,Animal,eats,Phylloscopus collybita,Animal
Turdus merula,Animal,eatenBy,Dendrocopos major,Animal
Martes martes,Animal,eats,Hippolais icterina,Animal
Emberiza citrinella,Animal,eatenBy,Martes,Animal
Turdus merula,Animal,eatenBy,Martes martes,Animal
Sciurus vulgaris,Animal,eats,Turdus merula,Animal
Corvus cornix,Animal,eats,Turdus merula,Animal
Emberiza citrinella,Animal,eatenBy,Buteo buteo,Animal
Pica pica,Animal,eats,Turdus philomelos,Animal
Martes,Animal,eats,Emberiza citrinella,Animal
Dendrocopos major,Animal,eats,Turdus merula,Animal
Martes,Animal,eats,Sylvia borin,Animal
Mustela erminea,Animal,eats,Prunella modularis,Animal
Martes,Animal,eats,Garrulus glandarius,Animal
Sylvia atricapilla,Animal,eatenBy,Vulpes vulpes,Animal
Martes,Animal,eats,Luscinia megarhynchos,Animal
Accipiter gentilis,Animal,eats,Sylvia atricapilla,Animal
Martes,Animal,eats,Prunella modularis,Animal
Garrulus glandarius,Animal,eats,Phylloscopus collybita,Animal
Asio otus,Animal,eats,Fringilla coelebs,Animal
Prunella modularis,Animal,eatenBy,Martes,Animal
Martes,Animal,eats,Hippolais icterina,Animal
Turdus merula,Animal,eatenBy,Sciurus vulgaris,Animal
Emberiza citrinella,Animal,eatenBy,Felis catus,Animal
Fringilla coelebs,Animal,eatenBy,Martes,Animal
Martes martes,Animal,eats,Sylvia atricapilla,Animal
Lanius collurio,Animal,eats,Emberiza citrinella,Animal
Accipiter nisus,Animal,eats,Turdus philomelos,Animal
Garrulus glandarius,Animal,eatenBy,Martes,Animal
Garrulus glandarius,Animal,eats,Prunella modularis,Animal
Mustela,Animal,eats,Phylloscopus collybita,Animal
Martes martes,Animal,eats,Turdus merula,Animal
Sylvia borin,Animal,eatenBy,Martes,Animal
Prunella modularis,Animal,eatenBy,Martes,Animal
Hippolais icterina,Animal,eatenBy,Martes,Animal
Turdus merula,Animal,eatenBy,Buteo buteo,Animal
Martes martes,Animal,eats,Sylvia borin,Animal
Turdus merula,Animal,eatenBy,Martes,Animal
Dendrocopos major,Animal,eats,Turdus merula,Animal
Phylloscopus collybita,Animal,eatenBy,Mustela putorius,Animal
Sylvia atricapilla,Animal,eatenBy,Sciurus vulgaris,Animal
Sylvia borin,Animal,eatenBy,Martes martes,Animal
Garrulus glandarius,Animal,eats,Phylloscopus collybita,Animal
Turdus merula,Animal,eatenBy,Dendrocopos major,Animal
Sylvia atricapilla,Animal,eatenBy,Martes,Animal
Turdus philomelos,Animal,eatenBy,Dendrocopos major,Animal
Sciurus vulgaris,Animal,eats,Sylvia atricapilla,Animal
Dendrocopos major,Animal,eats,Sylvia atricapilla,Animal
Fringilla coelebs,Animal,eatenBy,Martes,Animal
Buteo buteo,Animal,eats,Turdus merula,Animal
Meles meles,Animal,eats,Emberiza citrinella,Animal
Sylvia atricapilla,Animal,eatenBy,Accipiter gentilis,Animal
Garrulus glandarius,Animal,eats,Turdus merula,Animal
Sciurus vulgaris,Animal,eats,Turdus merula,Animal
Turdus philomelos,Animal,eatenBy,Martes martes,Animal
Garrulus glandarius,Animal,eats,Fringilla coelebs,Animal
Dendrocopos major,Animal,eats,Carduelis carduelis,Animal
Martes martes,Animal,eats,Prunella modularis,Animal
Martes,Animal,eats,Sylvia atricapilla,Animal
Turdus merula,Animal,eatenBy,Accipiter nisus,Animal
Garrulus glandarius,Animal,eats,Emberiza citrinella,Animal
Sylvia atricapilla,Animal,eatenBy,Buteo buteo,Animal
Prunella modularis,Animal,eatenBy,Martes martes,Animal
Garrulus glandarius,Animal,eats,Emberiza citrinella,Animal
Phylloscopus collybita,Animal,eatenBy,Mustela,Animal
Martes,Animal,eats,Acrocephalus palustris,Animal
Sylvia atricapilla,Animal,eatenBy,Felis catus,Animal
Garrulus glandarius,Animal,eats,Prunella modularis,Animal
Sciurus vulgaris,Animal,eats,Hippolais icterina,Animal
Martes,Animal,eats,Prunella modularis,Animal
Pica pica,Animal,eats,Turdus merula,Animal
Martes foina,Animal,eats,Turdus philomelos,Animal
Phylloscopus collybita,Animal,eatenBy,Mustela,Animal
Martes martes,Animal,eats,Turdus philomelos,Animal
Hippolais icterina,Animal,eatenBy,Martes martes,Animal
Turdus philomelos,Animal,eatenBy,Buteo buteo,Animal
Sylvia atricapilla,Animal,eatenBy,Pernis apivorus,Animal
Buteo buteo,Animal,eats,Turdus philomelos,Animal
Pernis apivorus,Animal,eats,Sylvia atricapilla,Animal
Turdus merula,Animal,eatenBy,Garrulus glandarius,Animal
Vulpes vulpes,Animal,eats,Sylvia atricapilla,Animal
Turdus philomelos,Animal,eatenBy,Buteo buteo,Animal
Buteo buteo,Animal,eats,Sylvia atricapilla,Animal
Turdus merula,Animal,eatenBy,Corvus cornix,Animal
Felis catus,Animal,eats,Sylvia atricapilla,Animal
Mustela,Animal,eats,Phylloscopus collybita,Animal
Sylvia atricapilla,Animal,eatenBy,Buteo buteo,Animal
Sylvia atricapilla,Animal,eatenBy,Martes martes,Animal
Sylvia borin,Animal,eatenBy,Martes martes,Animal
Garrulus glandarius,Animal,eats,Turdus philomelos,Animal
Dendrocopos major,Animal,eats,Sylvia atricapilla,Animal
Sciurus vulgaris,Animal,eats,Fringilla coelebs,Animal
Turdus philomelos,Animal,eatenBy,Martes,Animal
Buteo buteo,Animal,eats,Turdus philomelos,Animal
Erinaceus,Animal,eats,Phylloscopus collybita,Animal
Phylloscopus collybita,Animal,eatenBy,Mustela nivalis,Animal
Phylloscopus collybita,Animal,eatenBy,Erinaceus,Animal
Martes,Animal,eats,Turdus philomelos,Animal
Fringilla coelebs,Animal,eatenBy,Garrulus glandarius,Animal
Martes martes,Animal,eats,Sylvia borin,Animal
Luscinia megarhynchos,Animal,eatenBy,Martes,Animal
Buteo buteo,Animal,eats,Sylvia atricapilla,Animal
Turdus merula,Animal,eatenBy,Pica pica,Animal
Turdus philomelos,Animal,eatenBy,Martes martes,Animal
Emberiza citrinella,Animal,eatenBy,Martes,Animal
Prunella modularis,Animal,eatenBy,Garrulus glandarius,Animal
Dendrocopos major,Animal,eats,Carduelis carduelis,Animal
Turdus philomelos,Animal,eatenBy,Mustela,Animal
Hippolais icterina,Animal,eatenBy,Sciurus vulgaris,Animal
Sylvia atricapilla,Animal,eatenBy,Dendrocopos major,Animal
Buteo buteo,Animal,eats,Emberiza citrinella,Animal
Emberiza citrinella,Animal,eatenBy,Neogale vison,Animal
Turdus philomelos,Animal,eatenBy,Mustela,Animal
Martes,Animal,eats,Luscinia megarhynchos,Animal
Mustela putorius,Animal,eats,Phylloscopus collybita,Animal
Turdus philomelos,Animal,eatenBy,Martes foina,Animal
Turdus merula,Animal,eatenBy,Buteo buteo,Animal
Sylvia atricapilla,Animal,eatenBy,Martes,Animal
Phylloscopus collybita,Animal,eatenBy,Garrulus glandarius,Animal
Hippolais icterina,Animal,eatenBy,Sciurus vulgaris,Animal
Sylvia atricapilla,Animal,eatenBy,Martes martes,Animal
Martes martes,Animal,eats,Hippolais icterina,Animal
Martes martes,Animal,eats,Sylvia atricapilla,Animal
Turdus philomelos,Animal,eatenBy,Pica pica,Animal
Fringilla coelebs,Animal,eatenBy,Garrulus glandarius,Animal
Turdus philomelos,Animal,eatenBy,Martes,Animal
Fringilla coelebs,Animal,eatenBy,Dendrocopos major,Animal
Carduelis carduelis,Animal,eatenBy,Dendrocopos major,Animal
Sylvia atricapilla,Animal,eatenBy,Lanius collurio,Animal
Dendrocopos major,Animal,eats,Fringilla coelebs,Animal
Garrulus glandarius,Animal,eats,Fringilla coelebs,Animal
Fringilla coelebs,Animal,eatenBy,Sciurus vulgaris,Animal
Acrocephalus palustris,Animal,eatenBy,Martes,Animal
Garrulus glandarius,Animal,eats,Turdus philomelos,Animal
Martes,Animal,eats,Hippolais icterina,Animal
Strix aluco,Animal,eats,Sylvia atricapilla,Animal
Martes,Animal,eats,Acrocephalus palustris,Animal
Hippolais icterina,Animal,eatenBy,Martes,Animal
Emberiza citrinella,Animal,eatenBy,Garrulus glandarius,Animal
Emberiza citrinella,Animal,eatenBy,Buteo buteo,Animal
Martes,Animal,eats,Garrulus glandarius,Animal
Martes,Animal,eats,Turdus merula,Animal
Felis catus,Animal,eats,Emberiza citrinella,Animal
Neogale vison,Animal,eats,Emberiza citrinella,Animal
Carduelis carduelis,Animal,eatenBy,Dendrocopos major,Animal
Garrulus glandarius,Animal,eats,Turdus merula,Animal
Turdus merula,Animal,eatenBy,Martes martes,Animal
Mustela,Animal,eats,Turdus philomelos,Animal
Sylvia atricapilla,Animal,eatenBy,Garrulus glandarius,Animal
Lanius collurio,Animal,eats,Sylvia atricapilla,Animal
Sylvia atricapilla,Animal,eatenBy,Garrulus glandarius,Animal
Buteo buteo,Animal,eats,Turdus merula,Animal
Buteo buteo,Animal,eats,Emberiza citrinella,Animal
Dendrocopos major,Animal,eats,Turdus philomelos,Animal
Fringilla coelebs,Animal,eatenBy,Dendrocopos major,Animal
Lanius collurio,Animal,eats,Sylvia borin,Animal
Parus major,Animal,eats,Operophtera,Animal
Parus major,Animal,eats,Amphipyra,Animal
Amphipyra,Animal,eatenBy,Parus major,Animal
Operophtera,Animal,eatenBy,Parus major,Animal
Parus major,Animal,eats,Erannis,Animal
Erannis,Animal,eatenBy,Parus major,Animal
Turdus merula,Animal,eats,Rubus,Plant
Turdus merula,Animal,eats,Rosa canina,Plant
Rubus,Plant,eatenBy,Turdus merula,Animal
Prunus spinosa,Plant,eatenBy,Turdus merula,Animal
Turdus merula,Animal,eats,Sambucus nigra,Plant
Turdus merula,Animal,eats,Crataegus monogyna,Plant
Hedera helix,Plant,eatenBy,Turdus merula,Animal
Crataegus monogyna,Plant,eatenBy,Turdus merula,Animal
Turdus merula,Animal,eats,Hedera helix,Plant
Rosa canina,Plant,eatenBy,Turdus merula,Animal
Sambucus nigra,Plant,eatenBy,Turdus merula,Animal
Turdus merula,Animal,eats,Prunus spinosa,Plant
Bufo bufo,Animal,eatenBy,Astacus leptodactylus,Animal
Astacus leptodactylus,Animal,eats,Bufo bufo,Animal
Austropotamobius pallipes,Animal,eats,Bufo bufo,Animal
Procambarus clarkii,Animal,eats,Rana italica,Animal
Pelophylax lessonae,Animal,eatenBy,Procambarus clarkii,Animal
Pelophylax lessonae,Animal,eatenBy,Austropotamobius pallipes,Animal
Procambarus clarkii,Animal,eats,Pelophylax lessonae,Animal
Pelophylax lessonae,Animal,eatenBy,Procambarus clarkii,Animal
Bufo bufo,Animal,eatenBy,Procambarus clarkii,Animal
Bufo bufo,Animal,eatenBy,Austropotamobius pallipes,Animal
Pelophylax lessonae,Animal,eatenBy,Austropotamobius pallipes,Animal
Rana italica,Animal,eatenBy,Procambarus clarkii,Animal
Procambarus clarkii,Animal,eats,Bufo bufo,Animal
Procambarus clarkii,Animal,eats,Pelophylax lessonae,Animal
Austropotamobius pallipes,Animal,eats,Pelophylax lessonae,Animal
Austropotamobius pallipes,Animal,eats,Pelophylax lessonae,Animal
Lampyris noctiluca,Animal,eatenBy,Bufo bufo,Animal
Bufo bufo,Animal,eats,Lampyris noctiluca,Animal
Sanicula europaea,Plant,eatenBy,Apodemus sylvaticus,Animal
Primula vulgaris,Plant,eatenBy,Myodes glareolus,Animal
Euonymus europaeus,Plant,eatenBy,Myodes glareolus,Animal
Fragaria vesca,Plant,eatenBy,Apodemus sylvaticus,Animal
Oxalis acetosella,Plant,eatenBy,Myodes glareolus,Animal
Pteridium aquilinum,Plant,eatenBy,Myodes glareolus,Animal
Quercus robur,Plant,eatenBy,Myodes glareolus,Animal
Ligustrum vulgare,Plant,eatenBy,Myodes glareolus,Animal
Apodemus sylvaticus,Animal,eats,Sanicula europaea,Plant
Fraxinus excelsior,Plant,eatenBy,Myodes glareolus,Animal
Dryopteris filix-mas,Plant,eatenBy,Myodes glareolus,Animal
Sambucus nigra,Plant,eatenBy,Myodes glareolus,Animal
Acer pseudoplatanus,Plant,eatenBy,Myodes glareolus,Animal
Myodes glareolus,Animal,eats,Sambucus nigra,Plant
Myodes glareolus,Animal,eats,Acer pseudoplatanus,Plant
Myodes glareolus,Animal,eats,Geum urbanum,Plant
Apodemus sylvaticus,Animal,eats,Prunus spinosa,Plant
Galium aparine,Plant,eatenBy,Myodes glareolus,Animal
Mercurialis perennis,Plant,eatenBy,Apodemus sylvaticus,Animal
Fragaria vesca,Plant,eatenBy,Myodes glareolus,Animal
Urtica dioica,Plant,eatenBy,Myodes glareolus,Animal
Apodemus sylvaticus,Animal,eats,Sambucus nigra,Plant
Agrimonia eupatoria,Plant,eatenBy,Myodes glareolus,Animal
Agrimonia procera,Plant,eatenBy,Myodes glareolus,Animal
Myodes glareolus,Animal,eats,Galium aparine,Plant
Myodes glareolus,Animal,eats,Prunus spinosa,Plant
Myodes glareolus,Animal,eats,Dryopteris filix-mas,Plant
Myodes glareolus,Animal,eats,Rubus,Plant
Rubus,Plant,eatenBy,Apodemus sylvaticus,Animal
Myodes glareolus,Animal,eats,Euonymus europaeus,Plant
Myodes glareolus,Animal,eats,Agrimonia procera,Plant
Myodes glareolus,Animal,eats,Glechoma hederacea,Plant
Pteridium aquilinum,Plant,eatenBy,Apodemus sylvaticus,Animal
Apodemus sylvaticus,Animal,eats,Fragaria vesca,Plant
Glechoma hederacea,Plant,eatenBy,Myodes glareolus,Animal
Myodes glareolus,Animal,eats,Quercus robur,Plant
Apodemus sylvaticus,Animal,eats,Primula vulgaris,Plant
Myodes glareolus,Animal,eats,Agrimonia eupatoria,Plant
Hyacinthoides non-scripta,Plant,eatenBy,Myodes glareolus,Animal
Myodes glareolus,Animal,eats,Fraxinus excelsior,Plant
Myodes glareolus,Animal,eats,Urtica dioica,Plant
Myodes glareolus,Animal,eats,Oxalis acetosella,Plant
Myodes glareolus,Animal,eats,Mercurialis perennis,Plant
Myodes glareolus,Animal,eats,Hyacinthoides non-scripta,Plant
Apodemus sylvaticus,Animal,eats,Hyacinthoides non-scripta,Plant
Apodemus sylvaticus,Animal,eats,Pteridium aquilinum,Plant
Myodes glareolus,Animal,eats,Corylus avellana,Plant
Myodes glareolus,Animal,eats,Viola riviniana,Plant
Primula vulgaris,Plant,eatenBy,Apodemus sylvaticus,Animal
Prunus spinosa,Plant,eatenBy,Myodes glareolus,Animal
Myodes glareolus,Animal,eats,Fragaria vesca,Plant
Mercurialis perennis,Plant,eatenBy,Myodes glareolus,Animal
Rubus,Plant,eatenBy,Myodes glareolus,Animal
Myodes glareolus,Animal,eats,Ligustrum vulgare,Plant
Geum urbanum,Plant,eatenBy,Myodes glareolus,Animal
Apodemus sylvaticus,Animal,eats,Mercurialis perennis,Plant
Corylus avellana,Plant,eatenBy,Myodes glareolus,Animal
Viola riviniana,Plant,eatenBy,Myodes glareolus,Animal
Hyacinthoides non-scripta,Plant,eatenBy,Apodemus sylvaticus,Animal
Apodemus sylvaticus,Animal,eats,Rubus,Plant
Myodes glareolus,Animal,eats,Ranunculus,Plant
Myodes glareolus,Animal,eats,Primula vulgaris,Plant
Myodes glareolus,Animal,eats,Pteridium aquilinum,Plant
Sambucus nigra,Plant,eatenBy,Apodemus sylvaticus,Animal
Ranunculus,Plant,eatenBy,Myodes glareolus,Animal
Prunus spinosa,Plant,eatenBy,Apodemus sylvaticus,Animal
Taxus baccata,Plant,eatenBy,Turdus viscivorus,Animal
Turdus viscivorus,Animal,eats,Ilex aquifolium,Plant
Ilex aquifolium,Plant,eatenBy,Turdus viscivorus,Animal
Taxus baccata,Plant,eatenBy,Turdus iliacus,Animal
Taxus baccata,Plant,eatenBy,Turdus philomelos,Animal
Taxus baccata,Plant,eatenBy,Turdus pilaris,Animal
Turdus iliacus,Animal,eats,Taxus baccata,Plant
Turdus iliacus,Animal,eats,Ilex aquifolium,Plant
Taxus baccata,Plant,eatenBy,Turdus merula,Animal
Crataegus monogyna,Plant,eatenBy,Turdus philomelos,Animal
Turdus philomelos,Animal,eats,Ilex aquifolium,Plant
Turdus philomelos,Animal,eats,Taxus baccata,Plant
Turdus pilaris,Animal,eats,Taxus baccata,Plant
Turdus philomelos,Animal,eats,Crataegus monogyna,Plant
Turdus merula,Animal,eats,Crataegus monogyna,Plant
Crataegus monogyna,Plant,eatenBy,Turdus viscivorus,Animal
Turdus iliacus,Animal,eats,Crataegus monogyna,Plant
Crataegus monogyna,Plant,eatenBy,Turdus merula,Animal
Ilex aquifolium,Plant,eatenBy,Turdus merula,Animal
Turdus viscivorus,Animal,eats,Crataegus monogyna,Plant
Turdus pilaris,Animal,eats,Ilex aquifolium,Plant
